Designator,Mid X,Mid Y,Layer,Rotation
SW1,78.000000,-56.500000,Top,0.000000
SW2,78.000000,-63.500000,Top,0.000000
U1,11.295000,-64.025000,Top,0.000000
U2,42.500000,-42.000000,Top,0.000000
U3,42.500000,-57.800000,Top,0.000000
U4,52.000000,-6.800000,Top,0.000000
U5,64.095000,-15.945000,Top,0.000000
U6,59.595000,-71.545000,Top,0.000000
U7,13.245000,-30.945000,Top,0.000000
U8,46.225000,-30.795000,Top,0.000000
